column	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49
value	-0.16622537633310133	-0.016733770815063703	-0.044769064141533615	-0.022638196037448807	-0.005783408538473202	-0.011584117605393086	0.041902782603115835	0.06252552478796937	0.08171377455716132	0.08944221971014539	-0.05056819035709286	-0.029672975113773883	-0.023044343721916223	-0.08671847602082224	-0.011102774848142184	-0.2299398871930277	-0.0047528929398378845	-0.03972178901020735	0.1007577394688934	-0.040678629720861254	0.018388402032887073	0.07048932046495487	-0.16582996906819894	-0.023711331740140174	-0.07613286441326123	-0.03776300201828449	-0.046260174318793486	-0.021797770206630318	0.10363006239269465	0.03977379753616042	-0.06384772526331779	0.09929872522227082	-0.034969645609083375	0.0050363501416043335	0.16728144346004586	-0.054617124385928556	0.13239684239685223	-0.13984706313876039	-0.008284569621572839	0.0685270499577265	-0.01695447899501352	-0.14283693292477162	0.06601908696520199	0.0552705147888169	-0.10895022974838212	0.0762720220743527	0.053699050189377096	-0.010477220516341609	0.08858694811938779
gene_132	0.14048774187733493	1.3166810390005491e-4	0.11910249916878939	-0.0339014482595628	-0.03741296656033447	-0.026517600878181183	-0.023160588336934823	-0.11241799888082857	-0.08520559260908817	-0.17431456776005694	0.0357826276790373	0.06355967101593425	-0.06286474158757069	-0.03601575115276836	0.09334215378881504	0.03255715360340701	-0.15395715903615545	0.19705073064575165	-0.09611047122448543	0.0041716387777272265	-0.08621929368201194	-0.005537252947905296	0.047482067826699274	0.0363504055585658	-0.05785904153728385	0.042394552645391374	-0.05995240522419585	0.0457419303137093	0.03375731755931257	-0.07708872532313411	-0.11473649992258644	-0.19512036364466864	-0.14207190952271204	-0.11920286040745104	0.023819008462189956	0.0024811374820029636	-0.006775994877967354	-0.060100954567544426	0.016754785079256387	-0.024993718726871315	0.11420360421644019	0.11873302577059253	0.08204762234463349	-0.06953976556620106	0.06102659324457069	-0.08489405681627718	0.1939521939503034	-0.1951989025709465	-0.003973558475499519
gene_1475	-0.14545092256991202	-0.11589591378646073	-0.010161574998048465	0.062380165884012594	-0.006210724306028396	0.03406793752446204	-0.03654237016770728	0.07140690996592679	0.021583507807098012	-0.02159875534973894	-0.11611444602456501	-0.05949410039259394	0.049526727049968224	0.08527444872829311	-9.713246068403723e-4	-0.0696093734613137	0.1830838413610894	0.025908086611442997	0.03487912240045994	0.04543551554597403	-0.022650050474774332	-0.17329383717109206	0.04462606105698796	-0.06954325474363537	-0.146717954416782	-0.06301600332240026	0.038168298418485666	-0.13912525374502957	0.029554916139291006	-0.06782088635341324	0.16198330341561284	0.05575916232224268	0.03705115749968267	0.059502136665211945	0.05513816718417684	-0.11045579958092294	-0.005705375269831713	-0.2179587858447062	-0.27822239015224054	0.2176527234612921	0.07302675851323302	0.0498700927485794	0.04749896749461733	0.06556028164635291	-0.03717529610233607	-0.13403951749660997	-0.06407578179482849	-0.13299136870987618	0.048534756711862345
gene_6915	0.11309689168833294	-0.20222327027004652	0.0452401668226192	0.033398526784668536	-0.07317364111258237	0.028437391222524134	-0.013093699763715022	0.04088654881060052	-0.049959329065720585	-0.15830579182355342	-0.06598670000929453	0.05014818463924505	0.15158737874009143	-0.03350916418364751	-0.019758087996363107	-0.03204542294652994	0.05969414794931562	0.022396420403495845	-0.15389387633243634	-0.055166242689118274	0.1778262392116754	-0.07901174710669036	0.018808429700857214	0.06390802832094093	0.08963712398325378	-0.004848608748446556	0.04147814551279986	-0.03636389001942561	0.03945962684656374	0.0026578020598881672	-0.046582410135279896	-0.023452133137155804	0.1461540554571508	0.005902813386345514	-0.033862507785143055	0.1608228988013293	-0.02599601620970269	0.13069748440279272	-0.0969343567381397	0.18590445594846655	-0.03415382129598075	0.03404007670801998	0.12484943667888765	-0.13592874483104544	-0.0629492035487525	0.088117183253077	0.008752858107214663	0.012435914926543817	-0.017086051846748437
gene_117	0.10632080906012405	-0.039088148926038596	0.2302019627442617	-0.1524693094193842	0.04102376561551645	-0.06068182223077438	-0.129695021504325	-0.0014589571833216353	0.011571735226388007	0.01644030882154157	0.09942546976560972	-0.07061701409531744	0.015933721665245818	-0.048607482270115944	-0.0292590834555413	-0.0037391238362216306	0.11187378010526045	-0.05465726916517155	-0.03206829559855529	0.013680914474037882	0.03837608697125812	-0.02629612329057706	0.1112191412446538	-0.020165890854573983	0.013326170515192448	0.018056177898125053	-0.08631992804291465	-0.007953520864334812	-0.09797649982420371	0.02257835042805018	0.04654196522833623	0.030870795368898935	-0.08815563066676774	0.018017506245839147	0.13736348828452252	0.027041847677764824	-0.07284263171493782	0.18406019463583725	-0.0958559490423822	-0.12673164495222336	0.014430701622852442	-0.08653501229404205	0.005576261568804586	-0.00407790745696545	-0.12159431347157258	-0.009723047343769357	-0.08759748054234205	-0.10527072220275464	0.1312863595425488
gene_3068	-0.13949847846469246	0.1306389953857743	-0.024142091444544243	0.106532955095848	-0.029191190394724537	0.011751814540267684	-0.05491240202085396	0.07270658565139626	-0.03642390244461334	-0.21996095666659934	-0.02633410717436014	-0.056795786056665694	-0.03339299016789482	-0.061858959168196406	-0.036458973671967584	0.03897977837894966	-0.017823710268208535	0.0021961009855663207	0.09525193219127129	0.027075306446356806	-0.0687399564322542	-0.12411038505230904	-0.02599274846025159	-0.021050558769014363	-0.05782474218012575	0.04797311090353033	-0.11684335294755939	-0.055118921494210646	0.08439676218790049	-0.0062815215310843275	0.11678104846833956	0.024034892638927562	-0.02567324481383231	0.07870281245762835	-0.09374629758236451	-0.09252373754246503	-0.16208876595489852	0.06559413382505969	-0.01926359363799648	-0.14950501139557074	-0.14626744403160533	-0.09039789006282696	-0.10298679678034749	-0.11599271378440072	-0.04511714744330818	0.08483701322108549	-0.08045122146769607	0.04549591552445946	-0.02215744915920463
gene_2046	0.11062324005209684	-0.16687075329951892	-0.04680202739877539	0.01606079805099525	0.008042531199344236	0.028615720277952283	0.03393069362786533	-0.19366772675390448	-0.15540050062068947	-0.13040945045965338	-0.012824270263371785	0.10845776481157032	-0.1289626167401549	-0.0043877219886873445	0.17336624541759763	0.01170946334686912	-0.0167472609777566	-0.14408669155729598	0.033864005945343174	0.02594934569390306	-0.027215373926161853	-0.0471516762602129	0.02634126949741317	0.06986595603905989	0.02008342983320845	0.03573292567008861	-0.04618861131516158	-0.04047784772494804	-0.10540877891065532	0.09498623204170878	-0.013629320588060363	0.02569573605144703	0.09112296098958787	-0.08225767704620156	-0.02763207035713401	0.04433166219730847	-0.01743849145891044	0.023634679352385134	-0.10448876542601222	0.1701193882694733	-0.04770251814445207	0.02025217046784311	0.055212042601501914	-0.11921271411278292	-0.056675555520733195	-0.1419963006516523	-0.1843210067070419	0.3467972922938322	-0.10901013325259498
gene_452	0.10418459215045313	0.05370865639667277	0.06598465997149594	0.0664639384740936	-0.04615536897351685	-0.1101102272010713	-0.028797696952635145	0.0765658395634908	0.0888303273086091	-0.01911469233726012	0.19017496528171465	-0.057121149293080875	-0.2302755251029434	0.07705298327385875	0.2094529165340502	-0.04747907723408424	-0.1386713091155547	0.0448147782371878	-0.12554136679687689	0.0039054172222186653	-0.01319072262209903	-0.03875355937626781	0.07976604068659435	-0.16009002233774997	0.2861143524639955	-0.12636916402955212	0.042699390911757354	-0.04290678808483958	-0.00796614497192817	-0.0897454363708631	0.03860452137135644	-0.012730647175119177	0.017380886390164173	0.09669292454259178	-0.09640075625104076	-0.027994652121894493	0.07212334720349003	-0.04922222762848108	-0.12307067824756554	0.009763785869680075	-0.042415520447239403	-0.08645609960956695	-0.11264154156553911	-0.03737608378351078	-0.10579738104785062	0.14428541114892945	0.17326815550390307	-0.016514193779814893	-0.07279480143179984
gene_6962	-0.1332550014921966	-0.08879923660866872	0.01178337187540203	0.0943942084763153	-0.09573844672142669	0.04328652959741038	-0.06633172427274854	-0.03691350708502317	0.0069959044621830755	0.09141730417364123	0.02506107653076625	-0.14366860883983684	0.04048486709386162	-0.09937883571249205	0.02344835220145416	0.14224143931384806	-0.030173966115942908	-0.010613974220995597	0.041389498311052104	-0.26110848533815284	-0.008260164601902176	0.10370717595204984	0.09094761726088293	-0.1613996232640563	-0.0518076940419615	0.016957716279043047	-0.039538752853306845	0.040797051299113034	-0.14572228272337043	-0.14571056123582488	0.03578563953736111	0.08090305841480554	0.10906031681234218	-0.1219538119360166	-0.07605249100813931	0.11892088939119018	0.0022315614755467525	0.09974834347030076	8.574436550082747e-4	0.0815245963748348	-0.07521336457774172	0.16294386820403328	0.0032660970126606554	0.08088859308260048	0.21553558072314688	0.13512597664114592	0.14858665734447024	0.06631759927128092	0.0013840768816983317
gene_2773	-0.10927581906671165	-0.08910504907475593	0.08770269961323665	-0.0841924238208176	0.12219447075607623	0.11054983661231842	0.15717788092646456	-0.004816473935171062	0.0841317074014002	-0.02772113746715356	0.011533799753538538	0.01429839731415569	-0.02014690268619733	-0.11498642725657687	0.01856460127933127	-0.01747612760315944	0.07460120508034183	0.05391396376309221	0.05422968614291332	0.05178532054636912	-0.10883683746390999	-0.1774381936290761	0.004093423954131476	-0.01856373645169063	0.09778950095913472	-0.10389763105429632	-0.21581945182469325	0.2660599871503198	-0.07349897750715477	-0.026172868358211386	0.06761203682059615	-0.0366543389826729	0.17627680996265177	0.05945564000204477	-0.20735609123137502	-0.030282187897907712	0.054182685263378265	0.12047478591321319	0.009437481370999283	0.13723469804173058	0.07553486642901183	-0.294086134560104	0.1050850793040949	0.08950849291045607	0.1005843817440457	-0.02672141084257491	-0.008637947599996754	-0.04239165761662567	-0.1842327157210018
gene_5886	-0.10606946066395102	0.045950498777061276	-0.04387208679984665	-0.19155342637883604	0.01717375256800531	-0.06603323973085445	-0.0639945195187572	-0.026866139182075824	-0.07064265314885355	-0.14865104514746896	0.046377097125921404	0.1447673304756862	0.045297784929389795	-0.05106892941336521	-0.15296766023095576	-0.15750361461167522	-0.14371458750368196	0.026673757506049445	0.11096803191193445	-0.08583289509551636	0.0016284890915547411	-0.08041556524182478	0.12106852083409639	-0.0015972243166229787	-0.06525786126271928	0.003507002614002313	-0.028459365626809913	0.15862307159454353	0.14778147601745248	-0.011304674411536923	-0.0935373959348616	0.18001625145230146	0.10103682424877795	-0.21794126534598518	-0.07115329150984953	-0.05284235469118495	-0.004370146726556035	-0.08936144785508185	0.14445940734116872	-0.04469521483644836	0.03488098051511543	-0.006772891180875011	-0.054311502214447596	-0.1632240633410547	0.11665752748073169	-0.06403893444102206	0.11710323269901231	0.030962042256350936	0.08993249643130805
gene_121	0.09120080412944373	0.07774210041863605	0.20274957931621682	-0.21018583831773757	-0.021765881482177042	-0.0671463206131148	-0.08922314135123573	-0.011610150391467629	-0.02871209426569501	0.007102028640763281	0.08959522290404735	-0.10572112875380235	0.017769563828437737	-0.015669889934593888	-0.10313842255141284	-0.0018624505068264147	0.11953884412545955	-0.09633266374726886	0.034977556905188105	-0.04230060592807993	0.013978470464610825	0.054958127997245754	0.10436122825033473	0.08136469624754433	0.036031572292909514	0.03263074273029772	0.0013834820133240948	-0.034182312412631984	-0.16643435323384173	-0.04900742904840587	0.09097822356063923	-0.006221760013250068	0.04051736372492648	-0.011248197891777782	-0.001509220263912665	0.08733615987483721	-0.021882920100967027	-0.03957304784002177	0.016476465203835586	0.03279984004126846	0.061226561777002204	-0.008133027263136111	-0.01231187487719554	0.03003068672454513	-0.08668220290073858	-0.03276797082924718	-0.06361787017893848	-0.03898139359107651	0.10937650047052667
gene_4016	-0.09322670040081148	-0.07888030632191152	0.0697531355270058	-0.10561592651911782	0.09022510216015264	0.0015209389651469046	-0.03844817596252706	-0.126120800713117	-0.07566069568081042	0.1062248115303993	-0.09381273144627256	0.06051337404893657	0.01553623740063263	2.4849377323375195e-4	0.006168431029979771	-0.3404014536001326	0.03482883723582362	0.21806973744299268	0.10938823098199145	0.1252021975237753	-0.09102406177934712	-0.040246663627285836	0.04733799063097519	0.0019735475090984873	-0.0021238381358597794	0.14199368715655655	0.1498404363085844	-0.1125158129537149	0.038198272028686156	-0.15986480733652006	0.05129162193235154	-0.14016131250838068	-0.06633365496859722	0.11388076047331479	0.17618311148468863	0.13750335984613635	0.06946289405405173	0.05335822123809689	0.08774128732559673	-0.1055478477757803	0.011542126801487843	0.03736072284012635	-0.05364850407531842	0.020568004062702344	0.018153771929531538	-0.1191203761447168	0.06380578896154948	0.16400466997304128	-0.21863143625921255
